,Name,Location,Mealtime,Date,Filters,Description,Serving_Size,Calories,Fat,Carbohydrates,Protein,Allergens,Ingredients
162,Caesar Salad,Fresh Inspirations,Lunch,"Tuesday, February 01, 2022",['Halal'],"Traditional Caesar salad with Romaine lettuce, Parmesan cheese, croutons, and Caesar dressing",1 SV,501.86,41.48,23.93,15.54,Dairy/Gluten/Soybean Oil/Tree Nuts/Wheat/Egg/Fish/Soy,"Romaine lettuce, Tuscan Caesar dressing (soybean oil, water, high fructose corn syrup, Parmesan and Romano cheese [pasteurized cultured milk, salt, enzymes], distilled vinegar, egg yolk, salt. Contains less than 1.5% of anchovy paste [anchovies, salt, defatted soy flour, water], dried garlic, mustard, citric acid, spice, xanthan gum, potassium sorbate, sodium benzoate, calcium disodium EDTA, dried onion, lemon juice concentrate, lactic acid, disodium inosinate, disodium guanylate, extractives of turmeric, caramel color, artificial flavor), Parmesan cheese, cheesy garlic croutons (enriched flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], canola and/or sunflower oil, high fructose corn syrup, Romano cheese powder [pasteurized part skim cow`s milk, cheese culture, salt, enzyme], whey, buttermilk solids, maltodextrin, salt, sodium citrate, yeast. Contains 2% or less of salt, garlic powder, partially hydrogenated soybean oil, whey powder, sorbic acid, Romano and Parmesan cheese flavor [whey, sunflower oil, maltodextrin, Parmesan cheese {pasteurized part skim milk, cheese culture, salt, enzymes}, salt, enzyme-modified Romano cheese {pasteurized cow`s milk, culture, salt, enzymes} salt], yeast extract, citric acid, lactic acid, sodium phosphate, buttermilk powder, parsley flakes, calcium propionate, spices, soybean oil, natural flavors, rosemary extractives, extractives of turmeric and annatto, TBHQ. Per manufacturer, may contain tree nuts)"
163,Classic Coleslaw,Fresh Inspirations,Lunch,"Tuesday, February 01, 2022","['Vegetarian', 'Halal']","Cabbage, shredded carrots, bell peppers and cilantro in a cole saw dressing",N/A,N/A,N/A,N/A,N/A,Dairy/Egg/Soy/Soybean Oil,"Cabbage, shredded carrots, bell peppers and cilantro in a cole saw dressing"
164,Curried Tortellini Salad,Fresh Inspirations,Lunch,"Tuesday, February 01, 2022","['Vegetarian', 'Halal']",Curried cheese tortellini salad with mayonnaise and finely diced onion and celery,1/2 cup,166.21,10.29,16.37,2.74,Egg/Soybean Oil/Dairy/Gluten/Wheat,"Cheese tortellini pasta (contains wheat/gluten egg, and dairy), red seedless grapes, mayonnaise (contains egg and soybean oil), red onion, celery, curry powder, iodized salt, ground black pepper"
165,Deli Bar,Fresh Inspirations,Lunch,"Tuesday, February 01, 2022",[],"Assorted Meats and Cheeses with your favorite spreads, breads and veggies",1 EA,-1,-1,-1,-1,,
166,Strawberry Shortcake,Harvest Bakery,Lunch,"Tuesday, February 01, 2022",['Vegetarian'],"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",N/A,N/A,N/A,N/A,N/A,Alcohol [vanilla extract]/Egg/Gluten/Soybean Oil/Wheat,
167,Chocolate Chip Cookie,Harvest Bakery,Lunch,"Tuesday, February 01, 2022",['Vegetarian'],"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",1 EA,400,19,55,4,Alcohol [vanilla extract]/Dairy/Egg/Gluten/Soy/Wheat,"Enriched bleached flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, enzyme), chocolate (sugar, unsweetened chocolate, cocoa butter, soya lecithin), unsalted butter (pasteurized cream, salt), brown sugar, sugar, eggs, vanilla extract, salt, baking soda. Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
168,Vegan Oatmeal Raisin Cookie,Harvest Bakery,Lunch,"Tuesday, February 01, 2022",['Vegan'],,1 cookie,177,6.1,41,3,Alcohol [vanilla extract]/Gluten/Wheat,"Oatmeal, organic evaporated cane sugar, California raisins, unbleached wheat flour, sustainable RSPO palm oil shortening, grape juice, rice dextrins, pure vanilla extract, cinnamon, sea salt, baking soda"
169,BBQ Chicken Thigh,Bistro,Dinner,"Tuesday, February 01, 2022",['Halal'],Chicken grilled and tossed in BBQ sauce,3.5 oz,163.51,8.35,5.05,16.17,No Major Allergens,"Halal chicken drumsticks, Cannonball BBQ sauce (sugar, distilled vinegar, water, tomato paste, molasses, modified potato starch, salt. Contains less than 2% of natural smoke flavor, mustard flour, spice, paprika, dried onion, dried garlic, caramel color, maltodextrin, chili powder [chili pepper, spice, salt, garlic], autolyzed yeast extract, natural flavor), dark chili powder, kosher salt, light brown beet sugar, garlic powder, smoked paprika, ground dry mustard, ground black pepper"
170,Herb Roasted Red Potatoes,Bistro,Dinner,"Tuesday, February 01, 2022","['Vegan', 'Halal', 'Nourish']",Roasted red potatoes tossed with herbs and lemon juice,3 oz,64.73,1.15,12.72,1.51,No Major Allergens,"Red potatoes, lemon juice, canola/olive oil blend, kosher salt, fresh Italian parsley, thyme, Mediterranean oregano"
171,Steamed Garlic Green Beans,Bistro,Dinner,"Tuesday, February 01, 2022","['Vegan', 'Halal', 'Nourish']",Fresh green beans steamed with garlic and lightly seasoned, 3 oz,49.27,2.81,6.02,1.55,No Major Allergens,"Green beans, canola/olive oil blend, garlic, kosher salt, ground black pepper"
172,Southwest Black Beans,Bistro,Dinner,"Tuesday, February 01, 2022","['Vegan', 'Halal', 'Nourish']","Black beans cooked with bell peppers, onions, and spices.",N/A,N/A,N/A,N/A,N/A,No Major Allergens,
173,Steamed Green Peas,Bistro,Dinner,"Tuesday, February 01, 2022","['Vegan', 'Halal', 'Nourish']",Freshly steamed peas,N/A,N/A,N/A,N/A,N/A,No Major Allergens,
174,Student Farm Rainbow Carrots,Bistro,Dinner,"Tuesday, February 01, 2022","['Vegan', 'Halal', 'Nourish']","Fresh rainbow carrots, lightly roasted and seasoned",N/A,N/A,N/A,N/A,N/A,No Major Allergens,
175,Cheeseburger,Tomato Street Grill,Dinner,"Tuesday, February 01, 2022",['Halal'],"Local Harris Ranch ground beef and mushroom patty, grilled and served on a sesame bun with melted American cheese.",burger,495.67,32.33,29.86,28.01,Dairy/Soy/Gluten/Sesame/Soybean Oil/Wheat/Mushroom,"Halal ground beef and mushroom patty (ground beef, mushrooms, expeller pressed canola oil, black pepper, salt), sesame bun (enriched unbleached wheat flour [wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid], water, high fructose corn syrup, yeast, vegetable oil [canola and/or soy]. Contains 2% or less of vital wheat gluten, salt, ammonium sulfate, mono-diglycerides, sodium stearoyl lactylate, ascorbic acid, monocalcium phosphate, azodicarbonamide, calcium sulfate, enzymes, calcium propionate, sesame seeds), American cheese (milk, cream, water, sodium citrate, salt, cheese culture, sorbic acid, citric acid, enzymes, soy lecithin, apo carotenal, beta carotene)"
176,Falafel Burger,Tomato Street Grill,Dinner,"Tuesday, February 01, 2022",['Vegan'],Deep-fried house made chickpea patties with cucumber mint spread and harissa pickled onions on a toasted sesame bun.,1 SV,612.43,29.69,72.04,15.56,*Ingredient prepared in a fryer that`s not allergen-free/Soy/Soybean Oil/Sesame/Gluten/Wheat,"House-made falafel patty (garbanzo beans, Panko breadcrumbs [bleached wheat flour, shortening {palm oil}, sugar, yeast, salt], fresh cilantro, bulgur wheat, lemon juice, iodized salt, garlic, ground cumin, crushed red pepper, ground black pepper), sesame hamburger bun (enriched unbleached wheat flour [wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid], water, high fructose corn syrup, yeast, vegetable oil [canola and/or soy], vital wheat gluten, salt, ammonium sulfate, mono-diglycerides, sodium stearoyl lactylate, ascorbic acid, monocalcium phosphate, azodicarbonamide, calcium sulfate, enzymes, calcium propionate, sesame seeds), vegan mint sauce (Kraft vegan mayonnaise [expeller-pressed canola oil, water, organic distilled vinegar. Contains less than 2% of salt, modified food starch, cane sugar, spice, natural flavor, lemon, oleoresin paprika], vegan sour cream [filtered water, coconut cream, expeller-pressed high-oleic safflower oil, organic coconut oil, organic tapioca maltodextrin. Contains less than 2% of natural flavors, tapioca starch, pectin, glucono delta lactone, gellan gum, organic lemon juice concentrate, calcium phosphate, locust bean gum, lactic acid, calcium lactate, guar gum, sea salt, sodium alginate], cucumber, fresh mint, tahini paste [contains sesame], lemon juice), tomatoes, pickled onions (red onion, red wine vinegar, beet sugar, kosher salt, green Jalapeno pepper, ground cumin, ground Cayenne pepper, smoked paprika), canola oil, butter lettuce"
177,Curly Fries,Tomato Street Grill,Dinner,"Tuesday, February 01, 2022","['Vegan', 'Halal']",Crispy curly fries lightly seasoned,3 oz,204.55,13.45,17.61,1.68,*Ingredient prepared in a fryer that`s not allergen-free/Gluten/Soybean Oil/Wheat,"Curly fries (potato, vegetable oil [soybean, canola, cottonseed, and/or sunflower], enriched flour [bleached wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid]. Contains less than 2% of cellulose gum, color [paprika oleoresin, turmeric oleoresin], degermed yellow corn meal, dextrose, food starch modified, garlic powder, onion powder, reice flour, salt, spices, disodium dihydrogen pyrophosphate), canola oil, seasoned salt (salt, onion powder, granulated garlic, sugar, ground white pepper, ground paprika)"
178,New York Chicken & Walnut Waldorf Salad,Fresh Inspirations,Dinner,"Tuesday, February 01, 2022","['Halal', 'Nourish']","Roasted chicken, apples, grapes, celery tossed in a citrus-yogurt dressing and topped with walnuts.",1/2 cup,177.7,12.45,11.42,6.68,Alcohol [vanilla extract]/Dairy/Egg/Soybean Oil/Tree Nuts,"Apples, halal boneless skinless chicken breast, mayonnaise (soybean oil, water, corn syrup, egg yolks, distilled vinegar. Contains less than 2% of salt, mustard seed, calcium disodium EDTA), celery, red and green grapes, walnuts, vanilla yogurt (cultured pasteurized grade a low-fat milk, sugar, water, modified food starch, natural flavor, annatto extract and turmeric, carrageenan, pectin, citric acid, vanilla extract, vitamin A palmitate, vitamin D3), beet sugar, lemon juice, ground white pepper, iodized salt"
179,Tomato Sausage Stew,Fresh Inspirations,Dinner,"Tuesday, February 01, 2022",[],"Hearty sausag in a bolognese sauce, seasoned with celery, onions, and garlic. Seasoned with white pepper and parsley flakes",1 cup,196.17,1.58,33.4,13.05,Egg/Gluten/Soy/Wheat,
180,Hot & Sour Soup,Fresh Inspirations,Dinner,"Tuesday, February 01, 2022",[],"Mushrooms sauteed with ginger, garlic, and bamboo shoots. Simmered in chicken broth and soy sauce",N/A,N/A,N/A,N/A,N/A,"MUSHROOM, GLUTEN, SOY, WHEAT",
181,Red Skin Potato Salad with Eggs,Fresh Inspirations,Dinner,"Tuesday, February 01, 2022","['Vegetarian', 'Halal']",, 1/2 cup,230.01,13.01,24,3,Egg/Soybean Oil,"Red potatoes, mayonnaise (soybean oil, water, egg yolks, vinegar, high fructose corn syrup, salt, spice, calcium disodium EDTA), sweet relish (cured cucumbers, high fructose corn syrup, vinegar, salt, xanthan gum, sodium benzoate, celery seed, mustard seed, alum, dehydrated red bell pepper, natural flavoring, turmeric, dehydrated onion, blue #1, polysorbate 80, calcium chloride), water, hard cooked eggs, celery, red bell pepper, green bell pepper, mustard (distilled vinegar, water, mustard seed, salt, turmeric, paprika, spice, garlic powder), onion, sugar, vinegar, green onion, salt, spices, potassium sorbate, sodium benzoate, modified corn starch, dried chives, xanthan gum"
182,Classic California Pasta Salad,Fresh Inspirations,Dinner,"Tuesday, February 01, 2022","['Vegan', 'Halal']",,1 serving,140,4,22,4,Gluten/Soybean Oil/Wheat,"Tri-color rotini (durum wheat semolina, tomato solids, dried spinach, enriched with iron, niacin, thiamin mononitrate, riboflavin, folic acid), water, red bell pepper (bell peppers, water, citric acid), sugar, zucchini, celery, vinegar, carrots, soybean oil, onion, salt, xanthan gum, modified corn starch, potassium sorbate, sodium benzoate, celery seed, garlic powder"
183,Chopped Salad,Fresh Inspirations,Dinner,"Tuesday, February 01, 2022",[],"Chopped romain lettuce, olives, crutons, cucumbers, and tomatoes.",1 EA,-1,-1,-1,-1,,
184,Caesar Salad,Fresh Inspirations,Dinner,"Tuesday, February 01, 2022",['Halal'],"Traditional Caesar salad with Romaine lettuce, Parmesan cheese, croutons, and Caesar dressing",1 SV,501.86,41.48,23.93,15.54,Dairy/Gluten/Soybean Oil/Tree Nuts/Wheat/Egg/Fish/Soy,"Romaine lettuce, Tuscan Caesar dressing (soybean oil, water, high fructose corn syrup, Parmesan and Romano cheese [pasteurized cultured milk, salt, enzymes], distilled vinegar, egg yolk, salt. Contains less than 1.5% of anchovy paste [anchovies, salt, defatted soy flour, water], dried garlic, mustard, citric acid, spice, xanthan gum, potassium sorbate, sodium benzoate, calcium disodium EDTA, dried onion, lemon juice concentrate, lactic acid, disodium inosinate, disodium guanylate, extractives of turmeric, caramel color, artificial flavor), Parmesan cheese, cheesy garlic croutons (enriched flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], canola and/or sunflower oil, high fructose corn syrup, Romano cheese powder [pasteurized part skim cow`s milk, cheese culture, salt, enzyme], whey, buttermilk solids, maltodextrin, salt, sodium citrate, yeast. Contains 2% or less of salt, garlic powder, partially hydrogenated soybean oil, whey powder, sorbic acid, Romano and Parmesan cheese flavor [whey, sunflower oil, maltodextrin, Parmesan cheese {pasteurized part skim milk, cheese culture, salt, enzymes}, salt, enzyme-modified Romano cheese {pasteurized cow`s milk, culture, salt, enzymes} salt], yeast extract, citric acid, lactic acid, sodium phosphate, buttermilk powder, parsley flakes, calcium propionate, spices, soybean oil, natural flavors, rosemary extractives, extractives of turmeric and annatto, TBHQ. Per manufacturer, may contain tree nuts)"
185,Classic Coleslaw,Fresh Inspirations,Dinner,"Tuesday, February 01, 2022","['Vegetarian', 'Halal']","Cabbage, shredded carrots, bell peppers and cilantro in a cole saw dressing",N/A,N/A,N/A,N/A,N/A,Dairy/Egg/Soy/Soybean Oil,"Cabbage, shredded carrots, bell peppers and cilantro in a cole saw dressing"
186,Curried Tortellini Salad,Fresh Inspirations,Dinner,"Tuesday, February 01, 2022","['Vegetarian', 'Halal']",Curried cheese tortellini salad with mayonnaise and finely diced onion and celery,1/2 cup,166.21,10.29,16.37,2.74,Egg/Soybean Oil/Dairy/Gluten/Wheat,"Cheese tortellini pasta (contains wheat/gluten egg, and dairy), red seedless grapes, mayonnaise (contains egg and soybean oil), red onion, celery, curry powder, iodized salt, ground black pepper"
187,White Bean Dip,Fresh Inspirations,Dinner,"Tuesday, February 01, 2022","['Vegan', 'Nourish']","Pureed white beans with canola and olive oil, garlic, and fresh basil.",1 slice,3795.4,125.37,494.67,162.51,,"White beans, canola/olive oil blend, garlic, fresh basil, salt, onion powder, paprika, sugar, ground white pepper, garlic powder"
188,Romescu,Fresh Inspirations,Dinner,"Tuesday, February 01, 2022",['Vegan'],A savory spread of blended almonds and red bell pepper.,2 Tablespoons (1 oz),26.97,2.16,1.53,0.66,Tree Nuts,"Red bell pepper, almonds, red wine vinegar, canola/olive oil blend, garlic, iodized salt, black caraway seed, ground cumin"
189,Vegan Lemon Drop Cookie,Harvest Bakery,Dinner,"Tuesday, February 01, 2022",['Vegan'],,1 cookie,157,10,37,2,Alcohol [vanilla extract]/Gluten/Wheat,"Unbleached wheat flour, organic evaporated cane sugar, sustainable RSPO palm oil shortening, pure lemon extract, grape juice, rice dextrins, sea salt, baking powder"
190,Strawberry Shortcake,Harvest Bakery,Dinner,"Tuesday, February 01, 2022",['Vegetarian'],"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",N/A,N/A,N/A,N/A,N/A,Alcohol [vanilla extract]/Egg/Gluten/Soybean Oil/Wheat,
191,Vegan Oatmeal Raisin Cookie,Harvest Bakery,Dinner,"Tuesday, February 01, 2022",['Vegan'],,1 cookie,177,6.1,41,3,Alcohol [vanilla extract]/Gluten/Wheat,"Oatmeal, organic evaporated cane sugar, California raisins, unbleached wheat flour, sustainable RSPO palm oil shortening, grape juice, rice dextrins, pure vanilla extract, cinnamon, sea salt, baking soda"
192,Breakfast Burrito Bar,Pacific Fusion,Breakfast,"Wednesday, February 02, 2022",[],"Simple breakfast burrito base filled with eggs, cheese, and customizable toppings",self select,-1,-1,-1,-1,Gluten/Wheat/Soy/Egg/Alcohol/Dairy,
