,Name,Filters,Date,Mealtime,Location,Serving Size,Calories,Fat (g),Carbohydrates (g),Protein (g),Description,Allergens,Ingredients
165,Sweet & Sour Tofu,['Vegan'],"Tuesday, February 15, 2022",Dinner,Seasonality East, 1/2 cup, 123.95, 7.71, 9.78, 4.41,Crispy fried tofu marinated in our house sweet & sour sauce,*Ingredient prepared in a fryer that`s not allergen-free/Alcohol [vanilla extract]/Gluten/Soy/Wheat,"Firm tofu, house-made sweet and sour sauce (rice vinegar, beet sugar, ketchup [tomato concentrate made from red ripe tomatoes, distilled vinegar, high fructose corn syrup, corn syrup, salt, spice, onion powder, natural flavoring], cornstarch, lime juice, green bell peppers, carrots, yellow onion, light brown beet sugar, less-sodium soy sauce [water, soybeans, wheat, salt, lactic acid, sodium benzoate], pineapple, canola oil, pure vanilla extract, red food coloring [water, U.S. Certified Colors {FD&C red #40 and blue #1}, citric acid, 1/10 of 1% benzoate of soda], Tabasco hot sauce [distilled vinegar, red pepper, salt]), canola oil, cornstarch"
166,Sticky Rice,"['Vegan', 'Halal']","Tuesday, February 15, 2022",Dinner,Seasonality East, 1/2 cup (3 oz), 161.7, 0.26, 35.64, 2.97,Steamed white calrose rice,,"White rice, water"
167,Chicken Ranch Pizza,['Halal'],"Tuesday, February 15, 2022",Dinner,Saucey Saute, 1 SLC, 253.25, 10.85, 28.47, 9.59,"Topped with buttermilk Ranch dressing, Halal chicken, bell peppers, onions, and cheese",Dairy/Egg/Soybean Oil/Gluten/Soy/Wheat,"Pizza dough (enriched unbleached wheat flour [wheat flour, niacin, ferrous sulfate, thiamin mononitrate, enzyme, riboflavin, folic acid], water, yeast. Contains less than 2% of palm oil, buttermilk, salt, sugar, soybean oil, leavening [baking soda, sodium aluminum phosphate], cheddar cheese [milk, cheese cultures, salt, enzymes], low moisture part skim mozzarella cheese [pasteurized part skim milk, cheese culture, salt, enzyme], whey powder, garlic powder, guar gum, malted barley flour, dextrose, xanthan gum, datem, sodium phosphate, lactic acid, enzyme, ascorbic acid. May contain egg and soy), whole milk Mozzarella cheese (pasteurized milk, cheese cultures, salt, enzymes), halal chicken breast, buttermilk ranch dressing (cultured low-fat buttermilk, soybean oil, water, distilled vinegar, egg yolks. Contains less than 2% of salt, monosodium glutamate, dried onion, dried garlic, xanthan gum, spices, dried parsley, lactic acid, sodium benzoate, potassium sorbate, calcium disodium EDTA, autolyzed yeast extract, natural and artificial flavor), red onion, green bell pepper, canola oil, garlic powder, Italian seasoning, kosher salt, ground black pepper"
168,Spinach Alfredo Pizza,"['Vegetarian', 'Halal']","Tuesday, February 15, 2022",Dinner,Saucey Saute, 1 slice, 230.91, 8.24, 29.69, 8.97,"Topped with our house made Alfredo sauce, cheese, tomato, onion, and spinach.",Dairy/Mushroom/Soy/Egg/Gluten/Soybean Oil/Wheat,"Pizza dough (enriched unbleached wheat flour, water, yeast. Contains less than 2% of palm oil, buttermilk, salt, sugar, soybean oil, leavening, Cheddar cheese, low moisture part skim Mozzarella cheese, whey powder, garlic powder, guar gum, malted barley flour, dextrose, xanthan gum, datem, sodium phosphate, lactic acid, enzyme, ascorbic acid. May contain egg and soy), whole milk Mozzarella cheese, house alfredo sauce (reduced fat milk, white cream sauce base [modified cornstarch, whey, lactose, sunflower oil, corn syrup solids, salt, hydrolyzed corn protein. Contains 2% or less of sodium caseinate, carrageenan, yeast extract, color added, dipotassium phosphate, mono- and diglycerides, dried onions, soy lecithin, disodium guanylate, disodium inosinate, lactic acid, calcium lactate, maltodextrin, natural flavor, dextrose], Parmesan cheese, gluten-free vegetable soup base [contains mushroom], garlic powder, ground black pepper), tomato, red onion, spinach, canola oil, garlic, Italian seasoning"
169,Fresh Aggie Bar,[],"Tuesday, February 15, 2022",Dinner,Fresh Inspirations, 1 SV, -1, -1, -1, -1,"BYO bowl Aggie style with choice of protein, veggies and sauces",, 
170,Roasted Marinated Beef,['Nourish'],"Tuesday, February 15, 2022",Dinner,Fresh Inspirations, 3.5 oz, 168.88, 11.91, 0.51, 14.4,"Tender beef marinated in mustard, garlic and rosemary",Alcohol,"Beef rib, red wine vinegar, canola/olive oil blend, garlic, Dijon mustard (mustard seeds, water, alcohol vinegar, white wine, salt, sodium bisulfite), kosher salt, ground black pepper, fresh rosemary"
171,Shredded Chicken,"['Halal', 'Nourish']","Tuesday, February 15, 2022",Dinner,Fresh Inspirations, 3.5 oz, 195.65, 6.57, 0.57, 31.43,Tender chicken shredded and seasoned with our house fajita blend.,,"Boneless skinless halal chicken thighs, house fajita seasoning (seasoned salt [salt, ground paprika, granulated garlic, onion powder, ground white pepper, sugar], sugar, ground cumin, lemon pepper seasoning [salt, spices [including black pepper], citric acid, onion, sugar, garlic, calcium stearate, silicon dioxide, calcium silicate, lemon oil, riboflavin])"
172,Cauliflower Rice,"['Vegan', 'Halal', 'Nourish']","Tuesday, February 15, 2022",Dinner,Fresh Inspirations, 3 oz, 65.88, 5.19, 4.7, 1.82,Lightly seasoned cauliflower rice,,"Cauliflower, canola/olive oil blend, kosher salt"
173,Steamed White Rice,"['Vegan', 'Halal']","Tuesday, February 15, 2022",Dinner,Fresh Inspirations, 3 oz, 138.54, 0, 30.97, 3.26,Steamed white rice,,"Long grain rice (enriched with iron, niacin, thiamin, folic acid)"
174,Roasted Broccoli,"['Vegan', 'Halal', 'Nourish']","Tuesday, February 15, 2022",Dinner,Fresh Inspirations, 3 oz, 58.21, 4.02, 5.12, 2.16,Broccoli lightly seasoned and roasted,,"Broccoli, canola/olive oil blend, kosher salt, ground black pepper"
175,Sauteed Garlic Green Beans,"['Vegan', 'Halal', 'Nourish']","Tuesday, February 15, 2022",Dinner,Fresh Inspirations,  3 oz, 49.27, 2.81, 6.02, 1.55,Fresh green beans sauteed with garlic and lightly seasoned,,"Green beans, canola/olive oil blend, garlic, kosher salt, ground black pepper"
176,Roasted Butternut Squash,"['Vegan', 'Halal', 'Nourish']","Tuesday, February 15, 2022",Dinner,Fresh Inspirations, 3 oz, 74.19, 4.24, 10.02, 0.86,Butternut squash lightly seasoned and roasted,,"Butternut squash, canola/olive oil blend, kosher salt, ground black pepper"
177,Roasted Brussels Sprouts,"['Vegan', 'Halal', 'Nourish']","Tuesday, February 15, 2022",Dinner,Fresh Inspirations,  3 oz, 68.43, 4.17, 7.26, 2.73,Brussels sprouts roasted and lightly seasoned,,"Brussels sprouts, canola/olive oil blend, kosher salt, ground black pepper"
178,Sauteed Yellow Squash,"['Vegan', 'Halal', 'Nourish']","Tuesday, February 15, 2022",Dinner,Fresh Inspirations, 3 oz, 33.1, 2.48, 2.76, 0.71,Fresh yellow squash sauteed and lightly seasoned,,"Yellow squash, canola/olive oil blend, kosher salt, ground black pepper"
179,Chimmichurri Sauce,"['Vegan', 'Nourish']","Tuesday, February 15, 2022",Dinner,Fresh Inspirations, 2 tablespoons, 127.91, 14.43, 0.82, 0.36,"An herby sauce with cilantro, parsley, garlic, and oregano to complement your dish",,"Canola/olive oil blend, fresh Italian parsley, fresh cilantro, red wine vinegar, garlic, Mediterranean oregano, crushed red pepper"
180,Mango Vinaigrette,"['Vegan', 'Halal', 'Nourish']","Tuesday, February 15, 2022",Dinner,Fresh Inspirations, 2 tablespoons, 120.23, 13.03, 2.31, 0.11,Sweet and tangy vinaigrette to complement your dish,,"Canola/olive oil blend, mango, lime juice, rice vinegar, agave nectar, kosher salt, crushed red pepper"
181,Tomatillo and Avocado Salsa,"['Vegan', 'Halal', 'Nourish']","Tuesday, February 15, 2022",Dinner,Fresh Inspirations, 2 tablespoons, 48.13, 4.83, 1.67, 0.34,House tomatillo & avocado salsa,,"Tomatillos, avocado, canola/olive oil blend, fresh cilantro, kosher salt"
182,Romaine Lettuce,"['Vegan', 'Halal', 'Nourish']","Tuesday, February 15, 2022",Dinner,Fresh Inspirations, 1 cup, 7.99, 0.14, 1.55, 0.58,,,Fresh Romaine lettuce
183,Deli Bar,[],"Tuesday, February 15, 2022",Dinner,Saucey , 1 EA, -1, -1, -1, -1,"Assorted Meats and Cheeses with your favorite spreads, breads and veggies",,
184,Hot & Sour Soup,[],"Tuesday, February 15, 2022",Dinner,Saucey , 1 cup, 80.1, 3.44, 11.53, 1.58,"Mushrooms sauteed with ginger, garlic, and bamboo shoots. Simmered in chicken broth and soy sauce",Soybean Oil/Mushroom/Gluten/Soy/Wheat,"Woodear mushroom, corn starch, bamboo shoots, natural rice vinegar, Kikkoman soy sauce (water, soybeans, wheat, salt, sodium benzoate), gluten-free chicken soup base (chicken broth, salt, sugar, yeast extract, chicken fat, modified corn starch, citric acid, natural flavor), canola/olive oil blend, ginger, Huy Fong chili garlic sauce (chili, salt, garlic, distilled vinegar, potassium sorbate, sodium bisulfite, xanthan gum), iodized salt, ground white pepper, beet sugar"
185,Corn Chowder Soup,"['Vegetarian', 'Halal']","Tuesday, February 15, 2022",Dinner,Saucey , 1 cup, 175.06, 8.2, 20.92, 3.92,"Creamy chowder with corn, pearled barley, onions, and bell peppers",Dairy/Gluten/Wheat/Mushroom,"2% fat milk, corn, heavy whipping cream (heavy cream. Contains less than 1% of carrageenan), creamed corn (corn, water, sugar, modified corn starch, salt.), vegetable soup base (reconstituted vegetable juice blend [water and concentrated juices of carrot, celery, tomato], maltodextrin, salt, sugar, onion juice concentrate, yeast extract, cabbage juice, garlic powder, mushroom extract, spice, natural flavor), green bell pepper, yellow onion, corn starch, pearled barley, red bell pepper, canola oil, garlic powder, iodized salt, ground white pepper"
186,Chili Beans,"['Vegan', 'Nourish']","Tuesday, February 15, 2022",Dinner,Saucey , 1 cup, 154.59, 1.9, 29.74, 6.92,"Pinto beans simmered in broth with green chiles, corn and spices",Mushroom,"Pinto beans, red kidney beans, black beans, corn, yellow onion, red bell pepper, green bell pepper, green chiles, tomato paste, gluten-free vegetable soup base (reconstituted vegetable juice blend [concentrated juices of carrot, celery, tomato], maltodextrin, salt, sugar, onion juice concentrate, yeast extract, cabbage juice, garlic powder, mushroom extract, spice, natural flavor), red wine vinegar, salt, dark chili pepper, canola oil, Jalapeno peppers, garlic, ground black pepper, Cayenne pepper, cumin"
187,Orzo and Feta Salad,"['Vegetarian', 'Halal']","Tuesday, February 15, 2022",Dinner,Saucey , 1/2 cup, 158.4, 8.79, 15.39, 5.95,"Orzo pasta mixed with eggplant, bell peppers, feta cheese, and spices",Dairy/Gluten/Wheat,"Eggplant, feta cheese, red and yellow bell peppers, orzo pasta (contains wheat/gluten), red onion, canola/olive oil blend, lemon juice, fresh basil, garlic, iodized salt, ground black pepper"
188,Red Skin Potato Salad with Eggs,"['Vegetarian', 'Halal']","Tuesday, February 15, 2022",Dinner,Saucey ,  1/2 cup, 230.01, 13.01, 24, 3,,Egg/Soybean Oil,"Red potatoes, mayonnaise (soybean oil, water, egg yolks, vinegar, high fructose corn syrup, salt, spice, calcium disodium EDTA), sweet relish (cured cucumbers, high fructose corn syrup, vinegar, salt, xanthan gum, sodium benzoate, celery seed, mustard seed, alum, dehydrated red bell pepper, natural flavoring, turmeric, dehydrated onion, blue #1, polysorbate 80, calcium chloride), water, hard cooked eggs, celery, red bell pepper, green bell pepper, mustard (distilled vinegar, water, mustard seed, salt, turmeric, paprika, spice, garlic powder), onion, sugar, vinegar, green onion, salt, spices, potassium sorbate, sodium benzoate, modified corn starch, dried chives, xanthan gum"
189,Classic California Pasta Salad,"['Vegan', 'Halal']","Tuesday, February 15, 2022",Dinner,Saucey , 1 serving, 140, 4, 22, 4,,Gluten/Soybean Oil/Wheat,"Tri-color rotini (durum wheat semolina, tomato solids, dried spinach, enriched with iron, niacin, thiamin mononitrate, riboflavin, folic acid), water, red bell pepper (bell peppers, water, citric acid), sugar, zucchini, celery, vinegar, carrots, soybean oil, onion, salt, xanthan gum, modified corn starch, potassium sorbate, sodium benzoate, celery seed, garlic powder"
190,Tofu Poke Bowl,"['Vegetarian', 'Sustainable Choice']","Tuesday, February 15, 2022",Dinner,Saucey , N/A, N/A, N/A, N/A, N/A,,"Soybean Oil, Alcohol, Mushroom, Sesame, Gluten, Soy, Wheat",
191,Caesar Salad,['Halal'],"Tuesday, February 15, 2022",Dinner,Saucey , 1 SV, 501.86, 41.48, 23.93, 15.54,"Traditional Caesar salad with Romaine lettuce, Parmesan cheese, croutons, and Caesar dressing",Dairy/Gluten/Soybean Oil/Tree Nuts/Wheat/Egg/Fish/Soy,"Romaine lettuce, Tuscan Caesar dressing (soybean oil, water, high fructose corn syrup, Parmesan and Romano cheese [pasteurized cultured milk, salt, enzymes], distilled vinegar, egg yolk, salt. Contains less than 1.5% of anchovy paste [anchovies, salt, defatted soy flour, water], dried garlic, mustard, citric acid, spice, xanthan gum, potassium sorbate, sodium benzoate, calcium disodium EDTA, dried onion, lemon juice concentrate, lactic acid, disodium inosinate, disodium guanylate, extractives of turmeric, caramel color, artificial flavor), Parmesan cheese, cheesy garlic croutons (enriched flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], canola and/or sunflower oil, high fructose corn syrup, Romano cheese powder [pasteurized part skim cow`s milk, cheese culture, salt, enzyme], whey, buttermilk solids, maltodextrin, salt, sodium citrate, yeast. Contains 2% or less of salt, garlic powder, partially hydrogenated soybean oil, whey powder, sorbic acid, Romano and Parmesan cheese flavor [whey, sunflower oil, maltodextrin, Parmesan cheese {pasteurized part skim milk, cheese culture, salt, enzymes}, salt, enzyme-modified Romano cheese {pasteurized cow`s milk, culture, salt, enzymes} salt], yeast extract, citric acid, lactic acid, sodium phosphate, buttermilk powder, parsley flakes, calcium propionate, spices, soybean oil, natural flavors, rosemary extractives, extractives of turmeric and annatto, TBHQ. Per manufacturer, may contain tree nuts)"
192,Vegan Spinach Dip,['Vegan'],"Tuesday, February 15, 2022",Dinner,Saucey , 2 tbsp, 23.39, 1.55, 2.15, 0.73,"Tofu based spread with spinach, vegan sour cream, lemon juice, and spices",Mushroom/Soy/Soybean Oil,"Spinach, Water Chesnut, Silken Tofu, Vegan Sour Cream (filtered water, soybean oil, inulin, palm fruit oil, soymilk powder, rice starch, soy protein, calcium lactate, carrageenan, lactic acid, agave syrup, lemon juice concentrate, natural flavor, guar gum, sea salt, locust bean gum), Water, Seasoned Salt (Salt, Onion Powder, Paprika, Sugar, White Pepper, Garlic), Green Onion, GF Vegetable Soup Base (reconstituted vegetable juice blend [water and concentrated juices of carrot, celery, tomato], maltodextrin, salt, sugar, onion juice concentrate, yeast extract, cabbage juice, garlic powder, mushroom extract, spice, natural flavor),  Lemon Juice, Onion Soup Mix (dry)."
193,Pinto Bean Dip,"['Vegan', 'Halal', 'Nourish']","Tuesday, February 15, 2022",Dinner,Saucey , 2 Tablespoons, 21.78, 0.73, 3.28, 1.07,"Pinto beans mashed and mixed with our house salsa, garlic, and fresh cilantro",,"Pinto beans, tomato, Jalapeno peppers, green bell peppers, yellow onion, lemon juice, iodized salt, garlic, fresh cilantro, canola/olive oil blend"
194,Lemon & Cream Shortcake,"['Vegetarian', 'Halal']","Tuesday, February 15, 2022",Dinner,harvest bakery, N/A, N/A, N/A, N/A, N/A,,"Dairy, Egg, Gluten, Soybean Oil, Wheat",
195,Tuxedo Truffle Mousse Cake ,['Vegetarian'],"Tuesday, February 15, 2022",Dinner,harvest bakery, N/A, N/A, N/A, N/A, N/A,,"Alcohol, Dairy, Egg, Gluten, Soy, Wheat",
196,Chocolate Chunk Cookie,"['Vegetarian', 'Halal']","Tuesday, February 15, 2022",Dinner,harvest bakery, each, 190, 12, 34, 2,"Made in a facility that also processes peanuts and tree nuts (almonds, coconut, macadamia nuts, pecans, walnuts)",Dairy/Egg/Gluten/Soy/Wheat,"Enriched bleached flour (bleached wheat flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), semi-sweet chocolate chunks (sugar, unsweetened chocolate, cocoa butter, dextrose, soy lecithin, natural flavors), margarine (palm oil, water, contains 2% of less of salt, mono- and diglycerides, natural flavor [includes milk], citric acid, vitamin A palmitate, beta carotene), sugar, invert sugar, eggs, corn syrup, contains 2% or  less of butter (cream [milk], salt), whey, modified corn starch, chicory root fiber, natural and artificial flavor, molasses, baking soda, salt"
197,Vegan Lemon Drop Cookie,['Vegan'],"Tuesday, February 15, 2022",Dinner,harvest bakery, 1 cookie, 157, 10, 37, 2,,Alcohol [vanilla extract]/Gluten/Wheat,"Unbleached wheat flour, organic evaporated cane sugar, sustainable RSPO palm oil shortening, pure lemon extract, grape juice, rice dextrins, sea salt, baking powder"
198,Mushroom Toast,"['Vegetarian', 'Halal']","Wednesday, February 16, 2022",Breakfast,Tomato Street Grill, 1 SV, 227.05, 13.04, 13.3, 13.49,"Toasty bread topped with fluffy scrambled eggs, roasted mushrooms, rosemary goat cheese spread, and chives",Egg/Dairy/Mushroom/Gluten/Soybean Oil/Wheat,"Cage-free eggs, roasted oyster mushrooms (oyster mushrooms, canola/olive oil blend, fresh thyme, kosher salt, ground black pepper), Ciabatta bread (unbleached enriched flour [wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid], water, wheat gluten, yeast, fully refined soybean oil, granulated sugar, salt, calcium propionate [to retain freshness], dough improver [malted wheat flour, enzymes and 2% or less of ascorbic acid], calcium sulfate, enzymes), house-made rosemary goat cheese spread (goat cheese [cultured pasteurized goat`s milk, salt, enzymes], cream cheese [pasteurized milk and cream, salt, carob bean gum, cheese culture], fresh rosemary), fresh chives"
